name,age,preferences,movie,genre,director,rating
Stephanie,24,"animation, sci-fi",Shrek,animation,Andrew Adamson,2
Stephanie,24,"animation, sci-fi",Titanic,romance,James Cameron,5
Stephanie,24,"animation, sci-fi",Superbad,comedy,Greg Mottola,5
Stephanie,24,"animation, sci-fi",Joker,crime,Todd Phillips,5
Stephanie,24,"animation, sci-fi",Joker,crime,Todd Phillips,5
Stephanie,24,"animation, sci-fi",The Notebook,romance,Nick Cassavetes,1
Stephanie,24,"animation, sci-fi",Inception,sci-fi,Christopher Nolan,4
Stephanie,24,"animation, sci-fi",Interstellar,sci-fi,Christopher Nolan,4
Holly,21,"horror, animation",Inception,sci-fi,Christopher Nolan,4
Holly,21,"horror, animation",Forrest Gump,drama,Robert Zemeckis,2
Holly,21,"horror, animation",The Notebook,romance,Nick Cassavetes,3
Holly,21,"horror, animation",The Matrix,sci-fi,The Wachowskis,1
Holly,21,"horror, animation",Mad Max: Fury Road,action,George Miller,5
Holly,21,"horror, animation",Titanic,romance,James Cameron,2
Holly,21,"horror, animation",Mad Max: Fury Road,action,George Miller,1
Kristen,35,"sci-fi, fantasy",Joker,crime,Todd Phillips,3
Kristen,35,"sci-fi, fantasy",Gladiator,action,Ridley Scott,3
Kristen,35,"sci-fi, fantasy",Joker,crime,Todd Phillips,3
Kristen,35,"sci-fi, fantasy",Forrest Gump,drama,Robert Zemeckis,4
Kristen,35,"sci-fi, fantasy",Toy Story,animation,John Lasseter,3
Chase,46,"animation, fantasy",Joker,crime,Todd Phillips,1
Chase,46,"animation, fantasy",Finding Nemo,animation,Andrew Stanton,3
Chase,46,"animation, fantasy",Forrest Gump,drama,Robert Zemeckis,1
Chase,46,"animation, fantasy",Alien,horror,Ridley Scott,4
Chase,46,"animation, fantasy",Get Out,horror,Jordan Peele,3
Chase,46,"animation, fantasy",The Notebook,romance,Nick Cassavetes,4
Angelica,20,"thriller, comedy",Titanic,romance,James Cameron,1
Angelica,20,"thriller, comedy",The Matrix,sci-fi,The Wachowskis,4
Angelica,20,"thriller, comedy",Toy Story,animation,John Lasseter,2
Kylie,36,"action, thriller",Shrek,animation,Andrew Adamson,2
Kylie,36,"action, thriller",Shrek,animation,Andrew Adamson,1
Kylie,36,"action, thriller",Superbad,comedy,Greg Mottola,3
Andrea,24,"romance, comedy",The Dark Knight,action,Christopher Nolan,3
Andrea,24,"romance, comedy",Shrek,animation,Andrew Adamson,4
Andrea,24,"romance, comedy",Pulp Fiction,crime,Quentin Tarantino,4
Mark,53,"comedy, animation",Se7en,thriller,David Fincher,2
Mark,53,"comedy, animation",Shrek,animation,Andrew Adamson,4
Mark,53,"comedy, animation",Superbad,comedy,Greg Mottola,4
Tony,29,"sci-fi, romance",Interstellar,sci-fi,Christopher Nolan,4
Tony,29,"sci-fi, romance",The Dark Knight,action,Christopher Nolan,1
Tony,29,"sci-fi, romance",The Dark Knight,action,Christopher Nolan,1
Cindy,43,"thriller, drama",Get Out,horror,Jordan Peele,5
Cindy,43,"thriller, drama",John Wick,action,Chad Stahelski,1
Cindy,43,"thriller, drama",Gladiator,action,Ridley Scott,3
Cindy,43,"thriller, drama",Joker,crime,Todd Phillips,3
Cindy,43,"thriller, drama",Toy Story,animation,John Lasseter,5
Cindy,43,"thriller, drama",Superbad,comedy,Greg Mottola,4
Edward,29,"fantasy, action",Toy Story,animation,John Lasseter,5
Edward,29,"fantasy, action",Gladiator,action,Ridley Scott,5
Edward,29,"fantasy, action",Se7en,thriller,David Fincher,1
Edward,29,"fantasy, action",Inception,sci-fi,Christopher Nolan,1
James,54,"crime, action",The Notebook,romance,Nick Cassavetes,4
James,54,"crime, action",Inception,sci-fi,Christopher Nolan,2
James,54,"crime, action",Pulp Fiction,crime,Quentin Tarantino,5
James,54,"crime, action",Get Out,horror,Jordan Peele,2
James,54,"crime, action",Titanic,romance,James Cameron,4
James,54,"crime, action",Gladiator,action,Ridley Scott,1
Meagan,21,"drama, comedy",Interstellar,sci-fi,Christopher Nolan,4
Meagan,21,"drama, comedy",Alien,horror,Ridley Scott,1
Meagan,21,"drama, comedy",Interstellar,sci-fi,Christopher Nolan,2
Meagan,21,"drama, comedy",The Matrix,sci-fi,The Wachowskis,2
Shelby,28,"thriller, fantasy",Shrek,animation,Andrew Adamson,1
Shelby,28,"thriller, fantasy",Superbad,comedy,Greg Mottola,5
Shelby,28,"thriller, fantasy",Se7en,thriller,David Fincher,1
Shelby,28,"thriller, fantasy",Get Out,horror,Jordan Peele,2
Shelby,28,"thriller, fantasy",Gladiator,action,Ridley Scott,5
Shelby,28,"thriller, fantasy",Finding Nemo,animation,Andrew Stanton,1
Shelby,28,"thriller, fantasy",John Wick,action,Chad Stahelski,1
Shelby,28,"thriller, fantasy",Forrest Gump,drama,Robert Zemeckis,2
Christine,61,"horror, drama",The Dark Knight,action,Christopher Nolan,2
Christine,61,"horror, drama",Alien,horror,Ridley Scott,1
Christine,61,"horror, drama",Inception,sci-fi,Christopher Nolan,4
Christine,61,"horror, drama",The Matrix,sci-fi,The Wachowskis,2
Mark,51,"sci-fi, drama",Forrest Gump,drama,Robert Zemeckis,4
Mark,51,"sci-fi, drama",Get Out,horror,Jordan Peele,5
Mark,51,"sci-fi, drama",Titanic,romance,James Cameron,1
Mark,51,"sci-fi, drama",Interstellar,sci-fi,Christopher Nolan,1
Mark,51,"sci-fi, drama",Se7en,thriller,David Fincher,1
Brittany,65,"horror, sci-fi",Alien,horror,Ridley Scott,5
Brittany,65,"horror, sci-fi",The Matrix,sci-fi,The Wachowskis,1
Brittany,65,"horror, sci-fi",Gladiator,action,Ridley Scott,3
Brittany,65,"horror, sci-fi",Joker,crime,Todd Phillips,1
